vi_period,vi_threshold,sl,tp,trail,final_cap,return,win_rate,profit_factor,num_trades,score
30,0.2,0.015,0.1,0.01,10699.351784000002,0.06993517840000023,0.7536231884057971,10.24470257487604,69,0.06015332004432051
30,0.2,0.04,0.05,0.01,10699.351784000002,0.06993517840000023,0.7536231884057971,10.24470257487604,69,0.06015332004432051
30,0.2,0.02,0.03,0.01,10699.351784000002,0.06993517840000023,0.7536231884057971,10.24470257487604,69,0.06015332004432051
30,0.2,0.02,0.04,0.01,10699.351784000002,0.06993517840000023,0.7536231884057971,10.24470257487604,69,0.06015332004432051
30,0.2,0.015,0.04,0.01,10699.351784000002,0.06993517840000023,0.7536231884057971,10.24470257487604,69,0.06015332004432051
30,0.2,0.025,0.03,0.01,10699.351784000002,0.06993517840000023,0.7536231884057971,10.24470257487604,69,0.06015332004432051
30,0.2,0.02,0.05,0.01,10699.351784000002,0.06993517840000023,0.7536231884057971,10.24470257487604,69,0.06015332004432051
30,0.2,0.03,0.03,0.01,10699.351784000002,0.06993517840000023,0.7536231884057971,10.24470257487604,69,0.06015332004432051
30,0.2,0.04,0.06,0.01,10699.351784000002,0.06993517840000023,0.7536231884057971,10.24470257487604,69,0.06015332004432051
30,0.2,0.04,0.08,0.01,10699.351784000002,0.06993517840000023,0.7536231884057971,10.24470257487604,69,0.06015332004432051
30,0.2,0.04,0.04,0.01,10699.351784000002,0.06993517840000023,0.7536231884057971,10.24470257487604,69,0.06015332004432051
30,0.2,0.04,0.1,0.01,10699.351784000002,0.06993517840000023,0.7536231884057971,10.24470257487604,69,0.06015332004432051
30,0.2,0.04,0.03,0.01,10699.351784000002,0.06993517840000023,0.7536231884057971,10.24470257487604,69,0.06015332004432051
30,0.2,0.03,0.1,0.01,10699.351784000002,0.06993517840000023,0.7536231884057971,10.24470257487604,69,0.06015332004432051
30,0.2,0.03,0.08,0.01,10699.351784000002,0.06993517840000023,0.7536231884057971,10.24470257487604,69,0.06015332004432051
30,0.2,0.03,0.06,0.01,10699.351784000002,0.06993517840000023,0.7536231884057971,10.24470257487604,69,0.06015332004432051
30,0.2,0.02,0.06,0.01,10699.351784000002,0.06993517840000023,0.7536231884057971,10.24470257487604,69,0.06015332004432051
30,0.2,0.03,0.05,0.01,10699.351784000002,0.06993517840000023,0.7536231884057971,10.24470257487604,69,0.06015332004432051
30,0.2,0.03,0.04,0.01,10699.351784000002,0.06993517840000023,0.7536231884057971,10.24470257487604,69,0.06015332004432051
30,0.2,0.015,0.06,0.01,10699.351784000002,0.06993517840000023,0.7536231884057971,10.24470257487604,69,0.06015332004432051
30,0.2,0.025,0.08,0.01,10699.351784000002,0.06993517840000023,0.7536231884057971,10.24470257487604,69,0.06015332004432051
30,0.2,0.02,0.08,0.01,10699.351784000002,0.06993517840000023,0.7536231884057971,10.24470257487604,69,0.06015332004432051
30,0.2,0.015,0.05,0.01,10699.351784000002,0.06993517840000023,0.7536231884057971,10.24470257487604,69,0.06015332004432051
30,0.2,0.025,0.05,0.01,10699.351784000002,0.06993517840000023,0.7536231884057971,10.24470257487604,69,0.06015332004432051
30,0.2,0.02,0.1,0.01,10699.351784000002,0.06993517840000023,0.7536231884057971,10.24470257487604,69,0.06015332004432051
30,0.2,0.015,0.03,0.01,10699.351784000002,0.06993517840000023,0.7536231884057971,10.24470257487604,69,0.06015332004432051
30,0.2,0.025,0.1,0.01,10699.351784000002,0.06993517840000023,0.7536231884057971,10.24470257487604,69,0.06015332004432051
30,0.2,0.025,0.06,0.01,10699.351784000002,0.06993517840000023,0.7536231884057971,10.24470257487604,69,0.06015332004432051
30,0.2,0.025,0.04,0.01,10699.351784000002,0.06993517840000023,0.7536231884057971,10.24470257487604,69,0.06015332004432051
24,0.2,0.04,0.05,0.01,10684.044264999997,0.06840442649999968,0.6056338028169014,5.711034543388228,71,0.05904609537041197
24,0.2,0.02,0.06,0.01,10684.044264999997,0.06840442649999968,0.6056338028169014,5.711034543388228,71,0.05904609537041197
24,0.2,0.02,0.05,0.01,10684.044264999997,0.06840442649999968,0.6056338028169014,5.711034543388228,71,0.05904609537041197
24,0.2,0.02,0.04,0.01,10684.044264999997,0.06840442649999968,0.6056338028169014,5.711034543388228,71,0.05904609537041197
24,0.2,0.015,0.1,0.01,10684.044264999997,0.06840442649999968,0.6056338028169014,5.711034543388228,71,0.05904609537041197
24,0.2,0.02,0.03,0.01,10684.044264999997,0.06840442649999968,0.6056338028169014,5.711034543388228,71,0.05904609537041197
24,0.2,0.015,0.08,0.01,10684.044264999997,0.06840442649999968,0.6056338028169014,5.711034543388228,71,0.05904609537041197
24,0.2,0.015,0.06,0.01,10684.044264999997,0.06840442649999968,0.6056338028169014,5.711034543388228,71,0.05904609537041197
24,0.2,0.015,0.05,0.01,10684.044264999997,0.06840442649999968,0.6056338028169014,5.711034543388228,71,0.05904609537041197
24,0.2,0.015,0.03,0.01,10684.044264999997,0.06840442649999968,0.6056338028169014,5.711034543388228,71,0.05904609537041197
24,0.2,0.02,0.08,0.01,10684.044264999997,0.06840442649999968,0.6056338028169014,5.711034543388228,71,0.05904609537041197
24,0.2,0.025,0.03,0.01,10684.044264999997,0.06840442649999968,0.6056338028169014,5.711034543388228,71,0.05904609537041197
