timestamp_ms,balance,pnl,drawdown,drawdown_pct,open_positions,long_positions,short_positions,exposure_notional,long_exposure_notional,short_exposure_notional,net_exposure_notional
1705276800000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705289400000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705302000000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705314600000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705327200000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705339800000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705352400000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705363200000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705365000000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705375800000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705377600000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705388400000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705390200000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705401000000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705402800000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705413600000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705415400000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705426200000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705428000000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705438800000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705440600000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705449600000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705451400000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705453200000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705462200000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705464000000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705465800000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705474800000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705476600000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705478400000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705487400000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705489200000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705491000000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705500000000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705501800000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705503600000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705512600000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705514400000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705516200000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705525200000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705527000000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705528800000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705536000000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705537800000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705539600000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705541400000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705548360000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705550400000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705552200000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705554000000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705560720000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705563000000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705564800000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705566600000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705573080000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705575600000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705577400000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705579200000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705585440000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705588200000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705590000000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705591800000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705597800000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705600800000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705602600000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705604400000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705610160000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705613400000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1705615200000,70000.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
